import time: self [us] | cumulative | imported package
import time:       405 |        405 |               sqlalchemy.connectors
import time:       549 |        954 |             sqlalchemy.connectors.asyncio
import time:      1917 |      20658 |           sqlalchemy.dialects.postgresql.asyncpg
import time:       928 |        928 |           sqlalchemy.dialects.postgresql.pg8000
import time:       746 |        746 |             sqlalchemy.dialects.postgresql._psycopg_common
import time:      1009 |       1755 |           sqlalchemy.dialects.postgresql.psycopg
import time:       576 |        576 |           sqlalchemy.dialects.postgresql.psycopg2
import time:       248 |        248 |           sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       346 |        346 |             sqlalchemy.dialects._typing
import time:       832 |       1178 |           sqlalchemy.dialects.postgresql.dml
import time:       491 |      26591 |         sqlalchemy.dialects.postgresql
import time:       316 |        316 |             psycopg2.errors
import time:      9877 |      10192 |           psycopg2._psycopg
import time:       236 |        236 |             psycopg2._json
import time:       758 |        758 |             psycopg2._range
import time:       512 |       1504 |           psycopg2.extensions
import time:       390 |      12085 |         psycopg2
import time:       368 |        368 |           psycopg2._ipaddress
import time:      6469 |       6837 |         psycopg2.extras
import time:      1956 |      47657 |       db.session
import time:       613 |        613 |           modules
import time:       357 |        969 |         modules.permissions
import time:      5435 |       5435 |         db.base
import time:      1365 |       1365 |           modules.features
import time:     16254 |      17618 |         modules.features.model
import time:      1054 |       1054 |         modules.rbac_association
import time:      1894 |      26968 |       modules.permissions.model
import time:       335 |        335 |         modules.roles
import time:      1099 |       1434 |       modules.roles.model
import time:        60 |         60 |         modules.rbac_versioning
import time:      2566 |       2566 |         modules.rbac_versioning.model
import time:       724 |       3349 |       modules.rbac_versioning.service
import time:       323 |        323 |         modules.users
import time:      3487 |       3809 |       modules.users.model
import time:       781 |     268916 |     core.permissions
import time:       521 |        521 |       modules.errors
import time:      2760 |       2760 |       modules.features.schema
import time:       241 |        241 |         modules.rbac_constants
import time:       498 |        738 |       modules.features.service
import time:       530 |        530 |               pydantic.v1.typing
import time:      1431 |       1961 |             pydantic.v1.errors
import time:       245 |        245 |                 cython
import time:       222 |        466 |               pydantic.v1.version
import time:       778 |       1243 |             pydantic.v1.utils
import time:       480 |       3683 |           pydantic.v1.class_validators
import time:       691 |        691 |           pydantic.v1.config
import time:       536 |        536 |               pydantic.v1.color
import time:      1225 |       1225 |                   pydantic.v1.datetime_parse
import time:      1045 |       2269 |                 pydantic.v1.validators
import time:      1277 |       3546 |               pydantic.v1.networks
import time:      2016 |       2016 |               pydantic.v1.types
import time:       328 |       6425 |             pydantic.v1.json
import time:       373 |       6798 |           pydantic.v1.error_wrappers
import time:       735 |        735 |           pydantic.v1.fields
import time:       300 |        300 |             pydantic.v1.parse
import time:       656 |        656 |             pydantic.v1.schema
import time:      1057 |       2012 |           pydantic.v1.main
import time:      1379 |      15297 |         pydantic.v1.dataclasses
import time:       346 |        346 |         pydantic.v1.annotated_types
import time:       348 |        348 |         pydantic.v1.decorator
import time:       546 |        546 |         pydantic.v1.env_settings
import time:       662 |        662 |         pydantic.v1.tools
import time:       781 |      17977 |       pydantic.v1
import time:      4186 |      26180 |     modules.features.router
import time:       261 |        261 |       modules.org_units
import time:      1875 |       1875 |       modules.org_units.model
import time:      1300 |       1300 |       modules.org_units.schema
import time:       153 |        153 |         modules.org_units.hierarchy
import time:       562 |        714 |       modules.org_units.service
import time:      2868 |       7017 |     modules.org_units.router
import time:       124 |        124 |       modules.dashboard
import time:        53 |         53 |         modules.approvals
import time:      9795 |       9847 |       modules.approvals.model
import time:      1090 |      11060 |     modules.dashboard.router
import time:      8526 |       8526 |       modules.approvals.schema
import time:        58 |         58 |           modules.emails
import time:       388 |        388 |             email.generator
import time:       770 |       1158 |           smtplib
import time:       448 |        448 |             jinja2.bccache
import time:      1569 |       1569 |                 markupsafe._speedups
import time:       755 |       2324 |               markupsafe
import time:      1369 |       1369 |                 jinja2.utils
import time:      2475 |       3843 |               jinja2.nodes
import time:       942 |        942 |                 jinja2.exceptions
import time:       259 |        259 |                   jinja2.visitor
import time:       861 |       1120 |                 jinja2.idtracking
import time:       218 |        218 |                 jinja2.optimizer
import time:      2070 |       4349 |               jinja2.compiler
import time:       370 |        370 |                   jinja2.async_utils
import time:      1280 |       1280 |                   jinja2.runtime
import time:      1422 |       3071 |                 jinja2.filters
import time:       595 |        595 |                 jinja2.tests
import time:       393 |       4058 |               jinja2.defaults
import time:       822 |        822 |                 jinja2._identifier
import time:      1339 |       2161 |               jinja2.lexer
import time:       804 |        804 |               jinja2.parser
import time:      1203 |      18739 |             jinja2.environment
import time:       713 |        713 |             jinja2.loaders
import time:       294 |      20192 |           jinja2
import time:       303 |        303 |             email.mime
import time:      1417 |       1417 |                     email._header_value_parser
import time:       526 |       1943 |                   email.headerregistry
import time:       925 |        925 |                   email.contentmanager
import time:       462 |       3329 |                 email.policy
import time:       424 |       3753 |               email.mime.base
import time:       499 |       4252 |             email.mime.nonmultipart
import time:       485 |       5040 |           email.mime.text
import time:       248 |        248 |           modules.emails.constants
import time:      3999 |       3999 |           modules.emails.model
import time:      1702 |      32393 |         modules.emails.service
import time:       101 |        101 |           modules.mfa
import time:        46 |         46 |             modules.auth_policy
import time:       801 |        801 |                   modules.settings.model
import time:       367 |       1168 |                 modules.settings.lookup
import time:       430 |       1598 |               modules.settings
import time:         9 |       1607 |             modules.settings.lookup
import time:      1203 |       1203 |             modules.auth_policy.model
import time:      3063 |       3063 |             modules.mfa.model
import time:       860 |       6777 |           modules.auth_policy.service
import time:       218 |        218 |                       pyotp.utils
import time:       758 |        758 |                       pyotp.otp
import time:       826 |       1800 |                     pyotp.totp
import time:       338 |       2138 |                   pyotp.contrib.steam
import time:       284 |       2421 |                 pyotp.contrib
import time:       182 |        182 |                 pyotp.compat
import time:       174 |        174 |                 pyotp.hotp
import time:       432 |       3208 |               pyotp
import time:       267 |        267 |                 cryptography.fernet
import time:       175 |        441 |               core.mfa_crypto
import time:       643 |       4292 |             modules.mfa.service
import time:       478 |       4769 |           modules.mfa.notify
import time:       345 |      11991 |         modules.mfa.policy_hooks
import time:       756 |      45139 |       modules.approvals.service
import time:      5706 |      59371 |     modules.approvals.admin_router
import time:       298 |        298 |       modules.approvals.assignment_service
import time:      3657 |       3954 |     modules.approvals.mappings_admin_router
import time:      5529 |       5529 |       modules.emails.schema
import time:      9579 |      15107 |     modules.emails.admin_router
import time:      1853 |       1853 |       modules.permissions.schema
import time:        61 |         61 |           modules.rbac_audit
import time:      1512 |       1512 |           modules.rbac_audit.model
import time:       314 |       1886 |         modules.rbac_audit.service
import time:       258 |        258 |         modules.rbac_safety
import time:       178 |        178 |             modules.contractor
import time:       229 |        406 |           modules.contractor.module_config
import time:        76 |         76 |             modules.contractor_rates
import time:  66402547 |   66402623 |           modules.contractor_rates.module_config
import time:   7715036 |    7715036 |             modules.part_master
import time:  33512897 |   41227933 |           modules.part_master.module_config
import time:   6306181 |    6306181 |             modules.work_orders
import time:      1586 |    6307767 |           modules.work_orders.module_config
import time:      2813 |  113941539 |         modules.module_config
import time:       409 |  113944091 |       modules.permissions.service
import time:       832 |  113946776 |     modules.permissions.router
import time:       527 |  114342773 |   admin_api.routes
import time:       458 |  114589919 | app.main
Traceback (most recent call last):
  File "<string>", line 1, in <module>
  File "/Users/shubhambharambe/Desktop/MOHIT G/Ultra/backend/app/main.py", line 9, in <module>
    from admin_api.routes import router as admin_api_router
  File "/Users/shubhambharambe/Desktop/MOHIT G/Ultra/backend/admin_api/routes.py", line 13, in <module>
    from modules.permissions.router import router as permissions_router
  File "/Users/shubhambharambe/Desktop/MOHIT G/Ultra/backend/modules/permissions/router.py", line 17, in <module>
    from modules.permissions.service import PermissionService
  File "/Users/shubhambharambe/Desktop/MOHIT G/Ultra/backend/modules/permissions/service.py", line 13, in <module>
    from modules.module_config import MODULE_CONFIG, _normalize_action_token, flatten_config_actions
  File "/Users/shubhambharambe/Desktop/MOHIT G/Ultra/backend/modules/module_config.py", line 14, in <module>
    from modules.work_orders.module_config import WORK_ORDERS_MODULE_CONFIG
  File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 936, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1032, in get_code
  File "<frozen importlib._bootstrap_external>", line 1131, in get_data
KeyboardInterrupt
