import time: self [us] | cumulative | imported package
import time:       106 |        106 |                       asyncio.base_futures
import time:       138 |        138 |                       asyncio.exceptions
import time:       250 |        250 |                       asyncio.base_tasks
import time:       673 |       1165 |                     _asyncio
import time:       400 |       1765 |                   asyncio.events
import time:       485 |        485 |                   asyncio.futures
import time:       301 |        301 |                   asyncio.protocols
import time:       317 |        317 |                     asyncio.transports
import time:       105 |        105 |                     asyncio.log
import time:       477 |        898 |                   asyncio.sslproto
import time:        99 |         99 |                       asyncio.mixins
import time:       366 |        366 |                       asyncio.tasks
import time:       856 |       1320 |                     asyncio.locks
import time:       206 |       1525 |                   asyncio.staggered
import time:       125 |        125 |                   asyncio.trsock
import time:       862 |       9182 |                 asyncio.base_events
import time:       306 |        306 |                 asyncio.runners
import time:       339 |        339 |                 asyncio.queues
import time:       339 |        339 |                 asyncio.streams
import time:       258 |        258 |                 asyncio.subprocess
import time:       127 |        127 |                 asyncio.taskgroups
import time:       222 |        222 |                 asyncio.timeouts
import time:        99 |         99 |                 asyncio.threads
import time:       244 |        244 |                   asyncio.base_subprocess
import time:       428 |        428 |                   asyncio.selector_events
import time:       573 |       1244 |                 asyncio.unix_events
import time:       216 |      12326 |               asyncio
import time:         9 |      12335 |             asyncio.coroutines
import time:       669 |      18468 |           anyio._core._sockets
import time:      1015 |       1015 |             anyio.streams.memory
import time:       193 |       1208 |           anyio._core._streams
import time:       235 |        235 |           anyio._core._subprocesses
import time:       719 |        719 |                 zlib
import time:       314 |        314 |                   _compression
import time:       797 |        797 |                   _bz2
import time:       331 |       1441 |                 bz2
import time:      1110 |       1110 |                   _lzma
import time:       330 |       1439 |                 lzma
import time:       565 |       4163 |               shutil
import time:       443 |       4605 |             tempfile
import time:       381 |       4986 |           anyio._core._tempfile
import time:       498 |      40600 |         anyio
import time:      1342 |       1342 |                       pydantic_core._pydantic_core
import time:       332 |        332 |                             numbers
import time:      1147 |       1479 |                           _decimal
import time:       273 |       1752 |                         decimal
import time:      5295 |       7046 |                       pydantic_core.core_schema
import time:       443 |       8829 |                     pydantic_core
import time:       204 |       9032 |                   pydantic.version
import time:       334 |       9366 |                 pydantic.warnings
import time:       342 |       9708 |               pydantic._migration
import time:       208 |        208 |                   typing_inspection
import time:      1288 |       1288 |                   typing_inspection.typing_objects
import time:       579 |       2073 |                 typing_inspection.introspection
import time:       181 |        181 |                 pydantic._internal
import time:       340 |        340 |                     pydantic._internal._namespace_utils
import time:       371 |        710 |                   pydantic._internal._typing_extra
import time:       282 |        992 |                 pydantic._internal._repr
import time:       710 |       3955 |               pydantic.errors
import time:       346 |      14008 |             pydantic
import time:       138 |        138 |                 pydantic._internal._internal_dataclass
import time:       662 |        799 |               pydantic.aliases
import time:       615 |        615 |               pydantic.config
import time:       513 |       1925 |             pydantic._internal._config
import time:       264 |        264 |               pydantic._internal._core_utils
import time:       143 |        143 |                 pydantic._internal._import_utils
import time:       589 |        732 |               pydantic._internal._utils
import time:      1976 |       2971 |             pydantic._internal._decorators
import time:       316 |        316 |                 pydantic._internal._forward_ref
import time:       377 |        692 |               pydantic._internal._generics
import time:       227 |        227 |               pydantic._internal._docs_extraction
import time:       577 |       1495 |             pydantic._internal._fields
import time:       386 |        386 |                 pydantic.plugin
import time:       301 |        686 |               pydantic.plugin._schema_validator
import time:       280 |        965 |             pydantic._internal._mock_val_ser
import time:       682 |        682 |                 fractions
import time:       789 |        789 |                   _uuid
import time:       801 |       1590 |                 uuid
import time:       413 |        413 |                     sysconfig
import time:       464 |        464 |                     _sysconfigdata__darwin_darwin
import time:       225 |        225 |                     _osx_support
import time:       586 |       1687 |                   zoneinfo._tzpath
import time:       228 |        228 |                   zoneinfo._common
import time:       853 |        853 |                   _zoneinfo
import time:       222 |       2988 |                 zoneinfo
import time:       292 |        292 |                 pydantic.annotated_handlers
import time:      1784 |       1784 |                 pydantic.functional_validators
import time:       319 |        319 |                   pydantic._internal._core_metadata
import time:       248 |        248 |                   pydantic._internal._schema_generation_shared
import time:      1290 |       1856 |                 pydantic.json_schema
import time:       302 |        302 |                 pydantic._internal._discriminated_union
import time:       265 |        265 |                 pydantic._internal._known_annotated_metadata
import time:       404 |        404 |                 pydantic._internal._schema_gather
import time:       909 |      11068 |               pydantic._internal._generate_schema
import time:       230 |        230 |               pydantic._internal._signature
import time:       433 |      11730 |             pydantic._internal._model_construction
import time:      5103 |       5103 |               annotated_types
import time:       359 |        359 |               pydantic._internal._validators
import time:      3918 |       3918 |               pydantic.types
import time:      1252 |      10630 |             pydantic.fields
import time:       805 |        805 |                   _csv
import time:       359 |       1163 |                 csv
import time:       195 |        195 |                     importlib._abc
import time:        63 |        258 |                   importlib.util
import time:       732 |        990 |                 zipfile
import time:       177 |        177 |                     importlib.metadata._functools
import time:       210 |        387 |                   importlib.metadata._text
import time:       318 |        705 |                 importlib.metadata._adapters
import time:       277 |        277 |                 importlib.metadata._meta
import time:       301 |        301 |                 importlib.metadata._collections
import time:       179 |        179 |                 importlib.metadata._itertools
import time:       266 |        266 |                         importlib.resources.abc
import time:       296 |        296 |                         importlib.resources._adapters
import time:       267 |        828 |                       importlib.resources._common
import time:       236 |        236 |                       importlib.resources._legacy
import time:       272 |       1335 |                     importlib.resources
import time:         8 |       1343 |                   importlib.resources.abc
import time:       402 |       1744 |                 importlib.abc
import time:       859 |       6213 |               importlib.metadata
import time:       212 |       6425 |             pydantic.plugin._loader
import time:      6685 |      56831 |           fastapi.exceptions
import time:       400 |        400 |             fastapi.openapi
import time:       216 |        216 |                 fastapi.types
import time:       356 |        356 |                   shlex
import time:       238 |        238 |                   starlette.concurrency
import time:       256 |        256 |                   starlette.types
import time:       910 |       1759 |                 starlette.datastructures
import time:       373 |       2347 |               fastapi._compat.shared
import time:       196 |        196 |                 fastapi.openapi.constants
import time:      1214 |       1409 |               fastapi._compat.v2
import time:       229 |       3984 |             fastapi._compat
import time:       563 |        563 |             fastapi.logger
import time:       247 |        247 |               email_validator.exceptions
import time:       770 |        770 |               email_validator.types
import time:       993 |        993 |                 unicodedata
import time:     12133 |      12133 |                   email_validator.rfc_constants
import time:       348 |        348 |                       idna.idnadata
import time:       227 |        227 |                       idna.intranges
import time:       842 |       1417 |                     idna.core
import time:       182 |        182 |                     idna.package_data
import time:       485 |       2083 |                   idna
import time:       425 |      14640 |                 email_validator.syntax
import time:       215 |      15848 |               email_validator.validate_email
import time:       203 |        203 |               email_validator.version
import time:       228 |      17294 |             email_validator
import time:       555 |        555 |               email.feedparser
import time:       557 |       1112 |             email.parser
